P1xpos,P1zpos
-13.26317,-10.552459999999998
-13.26317,-10.552459999999998
-13.26317,-10.552459999999998
-13.26317,-10.552459999999998
-13.26317,-10.552459999999998
-13.26317,-10.552459999999998
-13.26317,-10.552459999999998
-13.26317,-10.552459999999998
-13.26317,-10.552459999999998
-13.26317,-10.552459999999998
-13.26317,-10.552459999999998
-13.26317,-10.552459999999998
-13.26317,-10.552459999999998
-13.26317,-10.552459999999998
-13.26317,-10.552459999999998
-13.263413986773678,-10.552967836158613
-13.264880339492285,-10.556011560781075
-13.2670728893306,-10.560508248991562
-13.269270514926495,-10.564968783378335
-13.271200973722372,-10.56887406849018
-13.27369171571324,-10.573860593309329
-13.275714004025403,-10.577787788403837
-13.277728432343237,-10.581641937568754
-13.279984208587527,-10.585949469738638
-13.282336342009202,-10.590481229247922
-13.284253797588093,-10.594390899714968
-13.28639656636497,-10.59937054642964
-13.287948446969699,-10.603631786303628
-13.289113913474681,-10.607853508017465
-13.289918059097579,-10.612501589283925
-13.290475026127615,-10.617708306705667
-13.290791680918092,-10.622047326024267
-13.291113420758743,-10.627323738498847
-13.29133130638064,-10.63200217271727
-13.291988354377105,-10.637628823215652
-13.292821889480615,-10.645232800113343
-13.293788026177618,-10.65218731173117
-13.294978534228425,-10.659940875920922
-13.295605929301265,-10.667843848676533
-13.296043278827883,-10.67517691744174
-13.296444728972899,-10.682014041362466
-13.296419529452946,-10.690051670833748
-13.296859333308332,-10.697457143339333
-13.297118393339334,-10.705214744516114
-13.297044207920793,-10.712762114503114
-13.297170758700872,-10.71955418541854
-13.297600509509286,-10.726960009167582
-13.29766935672734,-10.735420990432374
-13.297786747049706,-10.742241921192118
-13.297832006659,-10.749337766776677
-13.297423189860654,-10.75639288845551
-13.296809920617063,-10.761621687668764
-13.29570706612328,-10.76582838579691
-13.294385146431312,-10.771112398364835
-13.29329455408041,-10.775522130588056
-13.291988836175285,-10.779861986156947
-13.290090062297898,-10.784949468571854
-13.288218679117913,-10.788891682793277
-13.28553204062073,-10.793218145606225
-13.28249718609361,-10.797004483490014
-13.279364236298631,-10.800010206895687
-13.27584346801347,-10.802637161007766
-13.271016044812816,-10.805378039762308
-13.268086371512153,-10.80649891951695
-13.264452693269327,-10.807503062264558
-13.2611720416625,-10.807940868461843
-13.258461652915294,-10.80789297992299
-13.255713717288396,-10.807552439035568
-13.251682980839753,-10.806994447361399
-13.249317796779678,-10.805848104685467
-13.246572145547889,-10.804539648839883
-13.243099131038106,-10.803430027377736
-13.240304995124513,-10.802358686243622
-13.236472209179253,-10.801155024794143
-13.233442232681602,-10.799864060031
-13.231119460946095,-10.798291736048602
-13.230954684176751,-10.796759505867252
-13.232726606160616,-10.795620033920057
-13.234259224422443,-10.794613616611658
-13.23577365603227,-10.79358051888522
-13.237269567290063,-10.792520251191783
-13.238942384488448,-10.791256827557753
-13.240850140264028,-10.789723604235421
-13.242547261642832,-10.78828876008434
-13.243875772827282,-10.787026079482947
-13.245182066373305,-10.785738713283827
-13.246435953428678,-10.78439311922442
-13.247667538503853,-10.78302990332783
-13.248825220938762,-10.78160829350018
-13.250022053538688,-10.780088309680965
-13.251415709570958,-10.778073760726071
-13.252733934726807,-10.776156493399336
-13.253373281994866,-10.77511476072607
-13.253990833333335,-10.774108541666664
-13.253990833333335,-10.774108541666664
-13.253990833333335,-10.774108541666664
-13.253990833333335,-10.774108541666664
-13.253990833333335,-10.774108541666664
-13.253990833333335,-10.774108541666664
-13.253990833333335,-10.774108541666664
-13.253990833333335,-10.774108541666664
-13.254398703703705,-10.776172893518515
-13.255366606160615,-10.78079346740924
-13.256433099101578,-10.785436959341766
-13.257851047396407,-10.791183277181881
-13.259033587733775,-10.795752506188117
-13.26024575357536,-10.800312907269891
-13.259649306638998,-10.811293220009498
-13.2591536689919,-10.820043636176116
-13.258028285745242,-10.831244841755007
-13.256475468463513,-10.843135588788044
-13.250867939918995,-10.857944854172919
-13.243954618753541,-10.875252599530784
-13.235202479122913,-10.893053446573822
-13.228872853785381,-10.907590987161214
-13.222607649431609,-10.923533691514983
-13.211428313956397,-10.937800064235589
-13.198932360111014,-10.951378467034203
-13.186781432643265,-10.966373158878385
-13.174209235840252,-10.981488138209654
-13.160486647914793,-10.996077036141111
-13.147289683259993,-11.006155715759073
-13.133917741774177,-11.016461284649296
-13.118812177217722,-11.027791641851685
-13.103435398206491,-11.041948178463677
-13.088989958912558,-11.052849194023567
-13.076730482298233,-11.06201396433393
-13.065173194569459,-11.07140387278311
-13.053651315173184,-11.080064136017768
-13.040659126537657,-11.090449864673966
-13.027423027636098,-11.104222539691468
-13.014057182676602,-11.118603439323097
-13.00152512788779,-11.132764431380636
-12.985388165399876,-11.14792852141464
-12.967797292062542,-11.163133139584792
-12.949044501575159,-11.181746735486046
-12.931227713646365,-11.199408084954328
-12.912871156782346,-11.2165242889914
-12.895259560581062,-11.233021940881585
-12.874462996299632,-11.253414114182249
-12.85277939960663,-11.27299125472964
-12.829404832733275,-11.293787587196219
-12.808520675317533,-11.31152221040854
-12.789232083791715,-11.331283548542354
-12.770933875637565,-11.3519545520177
-12.75279326803514,-11.374812491770006
-12.734484624337433,-11.399154364290595
-12.714944543704371,-11.425158229260425
-12.695076906273961,-11.44835494230673
-12.675451088400509,-11.47178125485465
-12.653070876287629,-11.498498737061205
-12.632370427542755,-11.526714367415906
-12.61143246453812,-11.556471551384304
-12.585123262638765,-11.589707790091508
-12.56320792010451,-11.618918784149246
-12.541156818552688,-11.647169347247226
-12.515295685456044,-11.676889107348233
-12.489974682409908,-11.707503614715636
-12.461591970022004,-11.739620594871987
-12.432193342071708,-11.77355133569607
-12.406856293775213,-11.803274632692435
-12.379134778657031,-11.835295219584458
-12.351454390564058,-11.865592098522354
-12.32360901737674,-11.896517733877552
-12.29500931103527,-11.933071481377304
-12.26591472689769,-11.969609039466446
-12.236372636717839,-12.001989589271426
-12.206873745803748,-12.034810575953427
-12.178758540104011,-12.067701822244727
-12.150295279911324,-12.102045441731674
-12.117644401794346,-12.140993530957262
-12.086254977985298,-12.180279934180916
-12.055951712742106,-12.216472687164549
-12.020023493249324,-12.249122735461048
-11.985264144651964,-12.27998749668717
-11.949896733856718,-12.309707845430376
-11.912942956408143,-12.342133181839019
-11.874392879662965,-12.373628383275829
-11.839370327174384,-12.40595816954612
-11.801425880483881,-12.439229927180216
-11.762359129500451,-12.47038260032253
-11.723851215454879,-12.500936903919557
-11.67927730247608,-12.5370819280053
-11.636207858523354,-12.56974025408791
-11.598234360048506,-12.598499511138613
-11.558853412024535,-12.629119003337834
-11.514091454920491,-12.662102857723275
-11.469414825495049,-12.69813602929043
-11.421683655440546,-12.729612625325032
-11.373406396077108,-12.756745267964297
-11.326959724976666,-12.785965678880386
-11.281996238252994,-12.815055537032869
-11.235533906290629,-12.84562976753925
-11.191160138476347,-12.877426729693804
-11.145021190010668,-12.909539303617862
-11.09837873589859,-12.939022025640064
-11.052887384496785,-12.967719430463879
-11.004714301496817,-12.996576571928026
-10.952592561468647,-13.026761557343235
-10.895792987090376,-13.0585816196828
-10.837736370103677,-13.093199346872188
-10.776359691919192,-13.12764742105461
-10.71691723611111,-13.163806883417509
-10.653479536703669,-13.199010080112176
-10.590053141476647,-13.236177523439842
-10.52730302624846,-13.273855423271494
-10.46656153807464,-13.310614863048805
-10.403994669029403,-13.34694981529403
-10.343657346076276,-13.389026305026336
-10.283026728547854,-13.431202648744039
-10.224045125737575,-13.47418748431093
-10.165873460066843,-13.515720109448447
-10.105763403086142,-13.557264234985995
-10.044623984285929,-13.599057273914893
-9.9878330596643,-13.641340101155949
-9.928415626691837,-13.686551506338132
-9.866554928517855,-13.73094027884038
-9.810724847051373,-13.772312986902856
-9.751152309955996,-13.816299289199755
-9.691815097784781,-13.855954871174612
-9.62845462962963,-13.898295229418773
-9.56633040684485,-13.940158406569822
-9.50603014710221,-13.979061591284127
