,P1xpos,P1zpos
0,34.31385166666665,30.48234208333334
1,34.31535956245623,30.47968241611662
2,34.31687052905289,30.477017374987508
3,34.31864503450343,30.47388745499551
4,34.3205165831583,30.470586426267634
5,34.32202459695968,30.467926888813892
6,34.323535183018286,30.46526284991
7,34.32544795804579,30.461888890639074
8,34.32717399964995,30.45884451920193
9,34.32868299429941,30.45618310043505
10,34.33019407590758,30.453517704645474
11,34.33170331683167,30.45085568344335
12,34.33363809443443,30.447443621737182
13,34.33534530390538,30.44443254062907
14,34.336858493224305,30.44176341984199
15,34.338437469621944,30.438978381338142
16,34.3404477731523,30.435432606760685
17,34.3420096450895,30.432677740649073
18,34.341551129987984,30.433486523402348
19,34.341287831824836,30.433950748574862
20,34.341369581666484,30.433806504608807
21,34.340566930568045,30.435222016576663
22,34.340073852676916,30.43609161899524
23,34.3397359338017,30.436687623512356
24,34.33961872099709,30.43689414041405
25,34.33923474176583,30.43757153865387
26,34.33871132734105,30.43849490411542
27,34.33837133175816,30.439094191044116
28,34.337243305788895,30.441083762126222
29,34.33568982631595,30.443823887972133
30,34.33384399627462,30.44707981735674
31,34.33160152911123,30.451033453553695
32,34.329506588867204,30.454687676434315
33,34.32757790566556,30.457911782178225
34,34.325523430593044,30.461049417150054
35,34.321794747808106,30.466910342409246
36,34.3177665121512,30.47289487173718
37,34.31382614403106,30.478513078391178
38,34.30905093726038,30.484420736406978
39,34.30461728322831,30.488898345584563
40,34.30151971301296,30.49263676851019
41,34.300394620837075,30.49592398327333
42,34.30058104297928,30.499529012526256
43,34.30082905153014,30.503384197419745
44,34.30104061468646,30.50649133663367
45,34.30125152827782,30.509586783678373
46,34.301521464146404,30.513549491074112
47,34.30176043879387,30.517057261101115
48,34.30197135238523,30.520153234698473
49,34.302182434743465,30.523252128337834
50,34.3023943721872,30.526361568031806
51,34.30267170754574,30.53043200270027
52,34.30290258363335,30.53382138988899
53,34.30311383700869,30.53692244336934
54,34.30333771189618,30.540308799504952
55,34.3035846740924,30.544376270627065
56,34.303675796954685,30.547478884638466
57,34.303732536378625,30.550581212121216
58,34.30382430093008,30.554327480498056
59,34.30398365361535,30.558054690219024
60,34.3042461221122,30.561147112961297
61,34.30469286303629,30.56421593984399
62,34.305439783978386,30.56724430768077
63,34.3067760711071,30.57087272464747
64,34.30829969021901,30.57413560568557
65,34.30986409240923,30.57681222434744
66,34.311624768976884,30.57945637376238
67,34.31405744224421,30.582801640789082
68,34.316007629762964,30.585419981998204
69,34.31786107035702,30.58791277377738
70,34.319923204695456,30.590774803105315
71,34.32216496587157,30.59402043391839
72,34.32384237736272,30.596635011626166
73,34.325495338658854,30.599273048304834
74,34.32714851522651,30.601914152415244
75,34.329087130213004,30.605011068481854
76,34.33111534878487,30.608250723447345
77,34.33276386138613,30.610883783003302
78,34.33440987473746,30.61351371849685
79,34.33604061181117,30.618342693686035
80,34.337083545854576,30.623691703337002
