P1xpos,P1zpos
-25.93178,-33.907040000000016
-25.93178,-33.907040000000016
-25.93178,-33.907040000000016
-25.93178,-33.907040000000016
-25.93178,-33.907040000000016
-25.93178,-33.907040000000016
-25.93178,-33.907040000000016
-25.93178,-33.907040000000016
-25.93178,-33.907040000000016
-25.93178,-33.907040000000016
-25.93178,-33.907040000000016
-25.93178,-33.907040000000016
-25.93178,-33.907040000000016
-25.93178,-33.907040000000016
-25.93178,-33.907040000000016
-25.93178,-33.907040000000016
-25.93178,-33.907040000000016
-25.93178,-33.907040000000016
-25.930304950495046,-33.9048930408041
-25.92831403127813,-33.9019947378488
-25.926323972772277,-33.89909764363938
-25.924000257275726,-33.895714896489665
-25.921632161716172,-33.89226753300332
-25.91981376750175,-33.88925618899391
-25.919735765451545,-33.88505166179119
-25.919532371195455,-33.880660172892306
-25.91886808985065,-33.8755923008551
-25.919306852685267,-33.87102901402641
-25.919745605185522,-33.86646017768445
-25.918884092534256,-33.86074315589894
-25.91802050242524,-33.853599068656884
-25.917352893831048,-33.84652073136482
-25.91645256592326,-33.838607695352884
-25.916178468096813,-33.83054179730475
-25.91675030473881,-33.821712194677815
-25.917410456628996,-33.81398758267495
-25.918091527902792,-33.805909796729686
-25.91901220463713,-33.79712709279263
-25.920502777777774,-33.788346208287514
-25.922715801830183,-33.779993098809896
-25.924643456845686,-33.7710834318432
-25.92659042287562,-33.76295181034772
-25.92876192419242,-33.75438842359238
-25.93148822573924,-33.74653478339503
-25.93498737257059,-33.737504021818864
-25.93815126837684,-33.72963572044706
-25.941492454370437,-33.72199721097112
-25.9455861189869,-33.71305178955397
-25.94980474109911,-33.705256501650176
-25.954114836316965,-33.69822282174052
-25.959677014118082,-33.690447210096025
-25.96495329157916,-33.68060618761877
-25.968890840667402,-33.67228524139915
-25.972924375395873,-33.66409664616463
-25.977268511101112,-33.655625776327646
-25.983346807847454,-33.64560766960031
-25.98806643155982,-33.637369369270274
-25.99139430105511,-33.63017058955897
-25.99447745116178,-33.62348808689204
-25.996724259009238,-33.61821788428844
-25.997406144739475,-33.61350780678069
-25.998360006208955,-33.608147937293744
-25.998795216604993,-33.602299447819796
-25.998975874962497,-33.5970027659016
-25.999486870937094,-33.59218841988367
-26.000159610377708,-33.587081654873835
-26.001121717546756,-33.58145028327834
-26.001631861644498,-33.576637104710485
-26.00217714038071,-33.57176500675069
