P1xpos,P1ypos,P1zpos,P1Heading,Targetxpos,Targetypos,Targetzpos,Targetxvel,Targetyvel,Targetzvel,Containmentxpos,Containmentypos,Containmentzpos,targetcontained,trialtime
23.81389,1,-21.26107,2.56627,17.03897,0.5,-15.20904,-0.9655659,0,0.8609322,0,0.2,0,False,354.46
23.8095,1,-21.24665,2.26106,17.02931,0.5,-15.20043,-0.9658316,0,0.8611717,0,0.2,0,False,354.47
23.79467,1,-21.24394,2.566144,17.01965,0.5,-15.19182,-0.9658915,0,0.8612329,0,0.2,0,False,354.48
23.79028,1,-21.22953,2.261169,17.00999,0.5,-15.18321,-0.9661553,0,0.8614706,0,0.2,0,False,354.49
23.77545,1,-21.22681,2.566017,17.00033,0.5,-15.17459,-0.966224,0,0.8615299,0,0.2,0,False,354.5
23.77105,1,-21.2124,2.261279,16.99067,0.5,-15.16597,-0.966475,0,0.8617659,0,0.2,0,False,354.51
23.75622,1,-21.20967,2.565888,16.981,0.5,-15.15735,-0.9665415,0,0.8618232,0,0.2,0,False,354.52
23.75181,1,-21.19526,2.261387,16.97133,0.5,-15.14873,-0.9667907,0,0.8620575,0,0.2,0,False,354.53
23.73698,1,-21.19253,2.565761,16.96166,0.5,-15.14011,-0.9668444,0,0.862113,0,0.2,0,False,354.54
23.73257,1,-21.17812,2.261499,16.95199,0.5,-15.13149,-0.9671026,0,0.8623456,0,0.2,0,False,354.55
23.71774,1,-21.17538,2.565634,16.94232,0.5,-15.12287,-0.9671652,0,0.8623993,0,0.2,0,False,354.56
23.71332,1,-21.16097,2.261614,16.93265,0.5,-15.11424,-0.9674106,0,0.8626301,0,0.2,0,False,354.57
23.6985,1,-21.15823,2.56551,16.92297,0.5,-15.10561,-0.9674603,0,0.8626819,0,0.2,0,False,354.58
23.69407,1,-21.14382,2.261726,16.9133,0.5,-15.09698,-0.9677148,0,0.8629112,0,0.2,0,False,354.59
23.67924,1,-21.14107,2.565382,16.90362,0.5,-15.08835,-0.9677626,0,0.8629612,0,0.2,0,False,354.6
23.6748,1,-21.12666,2.261838,16.89394,0.5,-15.07972,-0.9680154,0,0.8631889,0,0.2,0,False,354.61
23.65998,1,-21.1239,2.565254,16.88426,0.5,-15.07109,-0.968072,0,0.8632371,0,0.2,0,False,354.62
23.65554,1,-21.1095,2.261951,16.87457,0.5,-15.06246,-0.9683121,0,0.8634632,0,0.2,0,False,354.63
23.64071,1,-21.10673,2.565128,16.86489,0.5,-15.05382,-0.968356,0,0.8635096,0,0.2,0,False,354.64
23.63627,1,-21.09233,2.262064,16.85521,0.5,-15.04518,-0.9686054,0,0.863734,0,0.2,0,False,354.65
23.62144,1,-21.08955,2.565,16.84552,0.5,-15.03655,-0.9686581,0,0.8637787,0,0.2,0,False,354.66
23.61699,1,-21.07515,2.262177,16.83583,0.5,-15.02791,-0.9688948,0,0.8640016,0,0.2,0,False,354.67
23.60217,1,-21.07237,2.564872,16.82614,0.5,-15.01927,-0.968935,0,0.8640446,0,0.2,0,False,354.68
23.59771,1,-21.05797,2.262291,16.81645,0.5,-15.01062,-0.9691809,0,0.8642659,0,0.2,0,False,354.69
23.58289,1,-21.05518,2.564744,16.80676,0.5,-15.00198,-0.9692299,0,0.8643073,0,0.2,0,False,354.7
23.57841,1,-21.04078,2.262406,16.79706,0.5,-14.99334,-0.9694633,0,0.864527,0,0.2,0,False,354.71
23.5636,1,-21.03799,2.564617,16.78736,0.5,-14.98469,-0.9694996,0,0.8645667,0,0.2,0,False,354.72
23.55912,1,-21.02359,2.262522,16.77767,0.5,-14.97604,-0.9697422,0,0.864785,0,0.2,0,False,354.73
23.5443,1,-21.02079,2.564489,16.76797,0.5,-14.96739,-0.9697877,0,0.8648229,0,0.2,0,False,354.74
23.53982,1,-21.0064,2.262636,16.75827,0.5,-14.95874,-0.9700177,0,0.8650396,0,0.2,0,False,354.75
23.525,1,-21.00359,2.564361,16.74857,0.5,-14.95009,-0.9700506,0,0.865076,0,0.2,0,False,354.76
23.52051,1,-20.9892,2.262751,16.73887,0.5,-14.94144,-0.9702898,0,0.8652912,0,0.2,0,False,354.77
23.5057,1,-20.98639,2.564232,16.72916,0.5,-14.93279,-0.9703317,0,0.8653259,0,0.2,0,False,354.78
23.5012,1,-20.972,2.262866,16.71946,0.5,-14.92413,-0.9705585,0,0.8655397,0,0.2,0,False,354.79
23.48639,1,-20.96917,2.564101,16.70975,0.5,-14.91548,-0.9705878,0,0.8655728,0,0.2,0,False,354.8
23.48188,1,-20.95479,2.262979,16.70004,0.5,-14.90682,-0.9708239,0,0.8657852,0,0.2,0,False,354.81
23.46708,1,-20.95196,2.563971,16.69034,0.5,-14.89816,-0.9708515,0,0.8658167,0,0.2,0,False,354.82
23.46256,1,-20.93757,2.263093,16.68063,0.5,-14.8895,-0.9710861,0,0.8660277,0,0.2,0,False,354.83
23.44776,1,-20.93473,2.563838,16.67092,0.5,-14.88084,-0.9711227,0,0.8660576,0,0.2,0,False,354.84
23.44324,1,-20.92035,2.263205,16.6612,0.5,-14.87218,-0.9713448,0,0.8662671,0,0.2,0,False,354.85
23.42843,1,-20.91751,2.563704,16.65149,0.5,-14.86351,-0.971369,0,0.8662955,0,0.2,0,False,354.86
23.42391,1,-20.90313,2.263319,16.64177,0.5,-14.85485,-0.9716005,0,0.8665037,0,0.2,0,False,354.87
23.4091,1,-20.90028,2.563571,16.63206,0.5,-14.84618,-0.971623,0,0.8665305,0,0.2,0,False,354.88
23.40457,1,-20.8859,2.263433,16.62234,0.5,-14.83752,-0.971853,0,0.8667372,0,0.2,0,False,354.89
